Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WESTVILLE,"2,400,000","1,631.82","1,471",Jun-23,WESTWOOD ROAD,Resale,Land,151.6,"15,831",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,480,000","2,332.56","1,063",Jun-23,CORPORATION RISE,Resale,Land,216.7,"11,444",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
WESTVILLE,"2,200,000","2,162.49","1,017",Jun-23,WESTWOOD CRESCENT,Resale,Land,200.9,"10,951",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
YUNNAN GARDENS,"5,200,000","4,713.56","1,103",Jun-23,YUNNAN CRESCENT,Resale,Land,437.9,"11,875",-,Terrace House,1,Freehold,22,Outside Central Region,-
WESTVILLE,"2,600,000","2,150.65","1,209",Jun-23,WESTWOOD WALK,Resale,Land,199.8,"13,013",-,Semi-Detached House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,200,000","1,617.83","1,360",May-23,WESTWOOD TERRACE,Resale,Land,150.3,"14,637",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,050,000","1,614.6","1,270",May-23,WESTWOOD CRESCENT,Resale,Land,150,"13,667",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,000,000","1,630.75","1,226",May-23,WESTWOOD AVENUE,Resale,Land,151.5,"13,201",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,120,000","1,614.6","1,313",Apr-23,WESTWOOD CRESCENT,Resale,Land,150,"14,133",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,200,000","1,879.39","1,171",Apr-23,WESTWOOD DRIVE,Resale,Land,174.6,"12,600",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,300,000","1,728.7","1,330",Apr-23,WESTWOOD TERRACE,Resale,Land,160.6,"14,321",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"2,030,000","1,613.52","1,258",Mar-23,WESTWOOD CRESCENT,Resale,Land,149.9,"13,542",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTWOOD PARK,"2,050,000","1,879.39","1,091",Feb-23,WESTWOOD DRIVE,Resale,Land,174.6,"11,741",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
WESTVILLE,"1,950,000","1,629.67","1,197",Jan-23,WESTWOOD AVENUE,Resale,Land,151.4,"12,880",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LAKESIDE GROVE,"2,200,000","1,617.83","1,360",Dec-22,CORPORATION RISE,Resale,Land,150.3,"14,637",-,Terrace House,1,99 yrs lease commencing from 1996,22,Outside Central Region,-
