stop_code,lat,lon,route_count,stop_name
17099,1.30783,103.77165,6,UTown - Cendana
17101,1.31487,103.77179,6,Blk 352
17109,1.31553,103.77218,5,Opp Blk 352
17111,1.3178,103.77125,6,Blk 343
17119,1.31728,103.77193,5,Opp Blk 343
17121,1.30476,103.76945,7,Blk 610
17129,1.30514,103.76986,5,Aft NUS High Sch
17131,1.30804,103.76591,7,Clementi Flyover
17139,1.30765,103.76674,8,Aft Clementi Ave 2
17141,1.311,103.7635,7,Clementi Stadium
17149,1.31172,103.76346,7,Blk 426
17151,1.3117,103.76961,13,Blk 410
17159,1.31198,103.76981,14,Blk 365
17161,1.31241,103.76685,18,Blk 455
17169,1.31285,103.7668,8,Blk 329
17171,1.31533,103.76486,18,Clementi Stn Exit A/Mall
17179,1.31528,103.76536,12,Clementi Stn Exit B
17181,1.3175,103.76389,11,Opp Blk 317
17189,1.31791,103.76406,14,Blk 317
17191,1.30567,103.76989,3,NUS High Sch
17201,1.32056,103.76735,2,Blk 308
17211,1.31829,103.7659,2,Bet Blks 315/318
17219,1.3182,103.76616,2,Blk 376
17221,1.31736,103.7679,4,Blk 377
17229,1.31728,103.76824,4,Blk 335
17239,1.31244,103.76585,10,NTUC Fairprice
17241,1.31519,103.76906,4,Blk 334
17249,1.31517,103.76934,3,Blk 355
17251,1.31148,103.76744,5,Blk 460
17259,1.31093,103.76746,6,Opp Blk 460
17269,1.30514,103.76274,1,Blk 730
17279,1.30292,103.76319,1,Blk 723
17289,1.30232,103.76471,1,West Coast CC
17291,1.29035,103.7697,2,West Coast Pk
17299,1.29061,103.77005,2,Opp West Coast Pk
17301,1.29495,103.76517,2,Opp West Coast View
17309,1.29537,103.76525,2,West Coast View
17311,1.30102,103.76229,1,Opp Blk 801C
17319,1.30184,103.7623,1,Blk 716
17321,1.30483,103.76035,1,Tien Wah Press Bldg
17329,1.30505,103.76058,1,Blk 705
17331,1.30759,103.75833,1,Opp Blk 518
17339,1.30786,103.7585,1,Blk 518
17351,1.29358,103.76576,2,Aft Clementi Rd
17359,1.29334,103.76622,2,Bef Clementi Rd
17361,1.2986,103.76346,1,Opp West Coast Lk
17369,1.29841,103.76387,2,Aft West Coast Lk
17371,1.32058,103.76357,2,Blk 201
17379,1.32049,103.76389,2,Blk 304
17381,1.29908,103.76686,5,West Bay Resort Condo
17389,1.29908,103.767,5,Opp West Bay Resort Condo
18011,1.28087,103.8021,8,Aft HortPark
18019,1.28091,103.80252,10,Bef Telok Blangah Hill Pk
18021,1.29645,103.78892,1,Opp Tempco Mfg
18029,1.2961,103.78918,1,Tempco Mfg
18041,1.28836,103.79317,7,Normanton Pk
18049,1.29018,103.79208,9,Opp Science Pk
18051,1.29864,103.78734,1,one-north Stn
18059,1.29849,103.78721,1,Opp one-north Stn
18061,1.29672,103.78738,1,Blk 71
18069,1.29649,103.78755,1,Opp Blk 71
18071,1.29543,103.78449,4,NUH
18079,1.29648,103.78455,5,Opp NUH
18081,1.29479,103.78734,1,Blk 55
18089,1.29481,103.78757,1,S'pore Post
18099,1.29393,103.78954,1,Bef Ayer Rajah Cres
18101,1.29282,103.78635,7,5 Sci Pk Dr
18109,1.29403,103.78673,8,Blk 55/Opp 5 Sci Pk Dr
18111,1.30059,103.78448,6,Fairfield Meth Pr Sch
18119,1.30005,103.78467,5,Opp Fairfield Meth Pr Sch
18121,1.29751,103.78542,8,Opp Ayer Rajah Ind Est
18129,1.29776,103.78571,10,Ayer Rajah Ind Est
18131,1.2895,103.79183,8,Science Pk
18141,1.30418,103.78788,10,Aft Anglo-Chinese JC
18149,1.30253,103.78724,11,Essec Business Sch
18151,1.30051,103.78864,1,Opp one-north Stn/Galaxis
18159,1.30035,103.78858,1,one-north Stn/Galaxis
18171,1.29905,103.79413,1,Bef Weyhill Cl
18179,1.29988,103.79305,1,Opp Weyhill Cl
18181,1.29715,103.79369,1,Opp Tanglin Trust Sch
18189,1.2984,103.7939,1,Tanglin Trust Sch
18191,1.29446,103.79594,1,Bef Whitchurch Rd
18199,1.29544,103.79408,1,Aft Whitchurch Rd
18201,1.29498,103.79323,1,Mediacorp Campus
18211,1.29162,103.79522,1,Infinite Studios
18221,1.2963,103.78347,1,NUH
18239,1.29679,103.78319,2,Opp NUH
18241,1.29092,103.78708,3,7 Sci Pk Dr (Geneo)
18249,1.29072,103.78713,2,DNV Technology Ctr
18251,1.29068,103.78845,3,71 Sci Pk Dr
18261,1.29016,103.78934,3,Opp DSO Natl Laboratories
18269,1.2901,103.78919,2,DSO Natl Laboratories
18271,1.28841,103.78993,3,Blk 85
18279,1.28841,103.78977,2,Opp Blk 85
18281,1.28753,103.79121,3,Opp Normanton Pk/R'ford
18289,1.28738,103.79121,2,Opp R'ford/Normanton Pk
18301,1.29739,103.78093,1,Lim Seng Tjoe Bldg (LT 27)
18309,1.29752,103.78134,2,Blk S17
18311,1.29744,103.77792,1,Blk S12
18319,1.29753,103.77813,2,Opp University Hall
18321,1.29879,103.77562,1,Opp University Health Ctr
18329,1.29892,103.77611,2,University Health Ctr
18331,1.29485,103.78438,1,Kent Ridge Stn Exit A/NUH
18339,1.29506,103.78456,2,Opp Kent Ridge Stn Exit A
19011,1.30782,103.78424,5,Blk 19A CP
19019,1.30807,103.78476,5,Blk 27
19021,1.30965,103.7812,7,SP SMA
