project_name,postal_district,planning_area,property_type,tenure,sale_date,sale_month,type_of_sale,price,area_sqft,area_sqm,unit_price_psf,floor_level,unit_floor,address,bedrooms,sources,match_method
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-20,2025-08,New Sale,2151700,1163.0,108.0,1850,01 to 05,2,53 CANBERRA CRESCENT #02-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-20,2025-08,New Sale,2229500,1163.0,108.0,1917,01 to 05,5,55 CANBERRA CRESCENT #05-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-21,2025-08,New Sale,1326000,667.0,62.0,1988,01 to 05,3,53 CANBERRA CRESCENT #03-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-21,2025-08,New Sale,1347000,667.0,62.0,2019,06 to 10,10,57 CANBERRA CRESCENT #10-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-21,2025-08,New Sale,1362500,667.0,62.0,2043,01 to 05,4,57 CANBERRA CRESCENT #04-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-22,2025-08,New Sale,1523600,797.0,74.0,1912,01 to 05,3,51 CANBERRA CRESCENT #03-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-22,2025-08,New Sale,1993000,990.0,92.0,2013,11 to 15,11,51 CANBERRA CRESCENT #11-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1333100,667.0,62.0,1999,06 to 10,6,51 CANBERRA CRESCENT #06-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1519000,797.0,74.0,1906,06 to 10,7,51 CANBERRA CRESCENT #07-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1586400,797.0,74.0,1990,01 to 05,5,55 CANBERRA CRESCENT #05-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1597400,797.0,74.0,2004,01 to 05,3,55 CANBERRA CRESCENT #03-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1629600,797.0,74.0,2045,11 to 15,11,57 CANBERRA CRESCENT #11-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1704525,872.0,81.0,1955,11 to 15,12,51 CANBERRA CRESCENT #12-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1757300,883.0,82.0,1990,01 to 05,5,57 CANBERRA CRESCENT #05-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1974000,990.0,92.0,1994,06 to 10,7,51 CANBERRA CRESCENT #07-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-23,2025-08,New Sale,1988000,990.0,92.0,2008,06 to 10,10,51 CANBERRA CRESCENT #10-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-24,2025-08,New Sale,1330300,667.0,62.0,1994,01 to 05,5,57 CANBERRA CRESCENT #05-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-24,2025-08,New Sale,1350400,667.0,62.0,2025,11 to 15,11,57 CANBERRA CRESCENT #11-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-24,2025-08,New Sale,1356900,667.0,62.0,2034,06 to 10,9,57 CANBERRA CRESCENT #09-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-24,2025-08,New Sale,1598300,797.0,74.0,2005,06 to 10,8,55 CANBERRA CRESCENT #08-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-24,2025-08,New Sale,1731700,883.0,82.0,1961,06 to 10,10,51 CANBERRA CRESCENT #10-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-25,2025-08,New Sale,2588900,1324.0,123.0,1955,06 to 10,7,57 CANBERRA CRESCENT #07-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-27,2025-08,New Sale,2391000,1216.0,113.0,1966,01 to 05,1,57 CANBERRA CRESCENT #01-XX,4,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-29,2025-08,New Sale,1999800,990.0,92.0,2020,06 to 10,8,51 CANBERRA CRESCENT #08-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-31,2025-08,New Sale,1340100,667.0,62.0,2009,01 to 05,4,57 CANBERRA CRESCENT #04-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-31,2025-08,New Sale,1372500,667.0,62.0,2058,01 to 05,3,55 CANBERRA CRESCENT #03-XX,2,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-08-31,2025-08,New Sale,1744400,883.0,82.0,1976,06 to 10,9,51 CANBERRA CRESCENT #09-XX,3,both,group+floor
CANBERRA CRESCENT RESIDENCES,27,SEMBAWANG,Apartment,99 yrs lease commencing from 2024,2025-09-03,2025-09,New Sale,1761900,883.0,82.0,1995,11 to 15,12,53 CANBERRA CRESCENT #12-XX,3,both,group+floor
